1966octsasthraga0000kssp	ശാസ്ത്രഗതി ലക്കം 1 - 1966 ഒക്ടോബർ - കേരള ശാസ്ത്രസാഹിത്യപരിഷത്ത്	Sasthragathi	Sasthragathi
1969decsasthrake0000kssp	ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1969 ഡിസംബർ	Sasthra Keralam Magazine	Sasthra Keralam Magazine
1969novsasthrake0000kssp	ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1969 നവം‌ബർ	Sasthra Keralam Magazine, KSSP Science Magazine	Sasthra Keralam Magazine; KSSP Science Magazine
1969sathrakerala0000kssp	ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1969 ആഗസ്റ്റ്	Sasthra Keralam Magazine, Malayalam Science Magazine	Sasthra Keralam Magazine; Malayalam Science Magazine
1970augeureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1970 ആഗസ്റ്റ് - വാല്യം 1 ലക്കം 3	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
1970deceureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1970 ഡിസമ്പർ - വാല്യം 1 ലക്കം 7	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
1970febsasthrake0000kssp	ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1970 ഫെബ്രുവരി	Sasthra Keralam Magazine, KSSP Science Magazine	Sasthra Keralam Magazine; KSSP Science Magazine
1970jansasthrake0000kssp	ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1970 ജനുവരി	Sasthra Keralam Magazine, KSSP Science Magazine	Sasthra Keralam Magazine; KSSP Science Magazine
1970marsasthrake0000kssp	ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1970 മാർച്ച്	Sasthra Keralam Magazine, KSSP Science Magazine	Sasthra Keralam Magazine; KSSP Science Magazine
1970maysasthrake0000kssp	ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1970 മേയ്	Sasthra Keralam Magazin; Malayalam Science Magazine	Sasthra Keralam Magazin; Malayalam Science Magazine
1970noveureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1970 നവമ്പർ - വാല്യം 1 ലക്കം 6	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
1970sepeureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1970 സെപ്റ്റംബർ - വാല്യം 1 ലക്കം 4	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
1970sepeureka0000kssp_v4f2	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1970 ഒക്ടോബർ - വാല്യം 1 ലക്കം 5	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
1971apreureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1971 ഏപ്രിൽ	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
1971febeureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1971 ഫെബ്രുവരി	Eureka Magazine	Eureka Magazine
1971janeureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1971 ജനുവരി	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
1971mareureka0000kssp	യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1971 മാർച്ച്	Eureka Magazine, Malayalam Children's Magazine	Eureka Magazine; Malayalam Children's Magazine
